benchmark,machine,variant,regalloc,gvn_time_s,total_opt_time_s,gvn_pct
619.lbm_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.076000,0.00
620.omnetpp_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,16.133800,0.00
623.xalancbmk_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,43.181200,0.00
625.x264_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.005400,4.003700,0.13
631.deepsjeng_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.752400,0.00
638.imagick_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.005400,13.239000,0.04
641.leela_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,2.049500,0.00
644.nab_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,1.418200,0.00
657.xz_s,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,1.698400,0.00
996.specrand_fs,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.023600,0.00
997.specrand_fr,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.031800,0.00
998.specrand_is,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.023500,0.00
999.specrand_ir,nuno-arm64,GVNPRE-s1-p0-greedy,greedy,0.000000,0.023600,0.00
500.perlbench_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,15.460200,0.00
502.gcc_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,74.524500,0.00
505.mcf_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.337200,0.00
508.namd_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,6.395000,0.00
510.parest_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,111.193700,0.00
511.povray_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.005300,8.738900,0.06
519.lbm_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.101700,0.00
520.omnetpp_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,17.504800,0.00
523.xalancbmk_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,45.997200,0.00
525.x264_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.005400,4.777500,0.11
526.blender_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.005400,101.554000,0.01
531.deepsjeng_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.755700,0.00
538.imagick_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.005500,15.544400,0.04
541.leela_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,2.209500,0.00
544.nab_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,1.470300,0.00
557.xz_r,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,1.813100,0.00
600.perlbench_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,15.715900,0.00
602.gcc_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,73.854400,0.00
605.mcf_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.248200,0.00
619.lbm_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.100000,0.00
620.omnetpp_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,16.725300,0.00
623.xalancbmk_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,45.701900,0.00
625.x264_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.005400,4.672400,0.12
631.deepsjeng_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.769300,0.00
638.imagick_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.005500,15.560800,0.04
641.leela_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,1.850500,0.00
644.nab_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,1.529600,0.00
657.xz_s,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,1.735700,0.00
996.specrand_fs,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.033600,0.00
997.specrand_fr,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.026200,0.00
998.specrand_is,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.026200,0.00
999.specrand_ir,nuno-arm64,GVNPRE-s1-p0-pbqp,pbqp,0.000000,0.026200,0.00
500.perlbench_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,13.672400,0.00
502.gcc_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,65.158100,0.00
505.mcf_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.268600,0.00
508.namd_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,4.404100,0.00
510.parest_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,95.933900,0.00
511.povray_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.007200,7.391000,0.10
519.lbm_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.075300,0.00
520.omnetpp_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,16.709000,0.00
523.xalancbmk_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,42.351100,0.00
525.x264_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.007200,3.692000,0.20
526.blender_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.007300,90.920000,0.01
531.deepsjeng_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.676000,0.00
538.imagick_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.007300,12.303000,0.06
541.leela_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,1.857700,0.00
544.nab_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,1.286100,0.00
557.xz_r,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,1.629400,0.00
600.perlbench_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,13.376100,0.00
602.gcc_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,64.700500,0.00
605.mcf_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.270400,0.00
619.lbm_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.079900,0.00
620.omnetpp_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,16.516200,0.00
623.xalancbmk_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,43.990100,0.00
625.x264_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,3.767700,0.00
631.deepsjeng_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.642600,0.00
638.imagick_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.007200,11.961800,0.06
641.leela_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,1.694100,0.00
644.nab_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,1.384800,0.00
657.xz_s,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,1.667600,0.00
996.specrand_fs,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.023900,0.00
997.specrand_fr,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.023600,0.00
998.specrand_is,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.024400,0.00
999.specrand_ir,nuno-arm64,NewGVN-opt-s1-p0-fast,fast,0.000000,0.023900,0.00
500.perlbench_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,15.082000,0.00
502.gcc_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,67.304700,0.00
505.mcf_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.306700,0.00
508.namd_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,5.721500,0.00
510.parest_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,104.027200,0.00
511.povray_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.007200,7.682600,0.09
519.lbm_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.075900,0.00
520.omnetpp_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,16.022500,0.00
523.xalancbmk_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,41.096700,0.00
525.x264_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.007200,3.909700,0.18
526.blender_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.007100,93.469800,0.01
531.deepsjeng_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.741400,0.00
538.imagick_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.007200,13.389000,0.05
541.leela_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,1.229100,0.00
544.nab_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,1.412000,0.00
557.xz_r,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,1.710900,0.00
600.perlbench_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,15.030400,0.00
602.gcc_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,66.507800,0.00
605.mcf_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.277200,0.00
619.lbm_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.078800,0.00
620.omnetpp_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,16.146500,0.00
623.xalancbmk_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,43.018200,0.00
625.x264_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.007100,3.933000,0.18
631.deepsjeng_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.686200,0.00
638.imagick_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.007000,13.418900,0.05
641.leela_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,1.445100,0.00
644.nab_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,1.414200,0.00
657.xz_s,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,1.787600,0.00
996.specrand_fs,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.023600,0.00
997.specrand_fr,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.031900,0.00
998.specrand_is,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.030900,0.00
999.specrand_ir,nuno-arm64,NewGVN-opt-s1-p0-greedy,greedy,0.000000,0.023800,0.00
500.perlbench_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,15.469400,0.00
502.gcc_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,75.222900,0.00
505.mcf_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.362100,0.00
508.namd_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,6.084600,0.00
510.parest_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,109.798700,0.00
511.povray_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.007300,8.509000,0.09
519.lbm_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.100400,0.00
520.omnetpp_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,18.657700,0.00
523.xalancbmk_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,46.241200,0.00
525.x264_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.007200,4.721100,0.15
526.blender_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.007300,103.210600,0.01
531.deepsjeng_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.751400,0.00
538.imagick_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.007200,15.525700,0.05
541.leela_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,1.797800,0.00
544.nab_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,1.505700,0.00
557.xz_r,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,1.960300,0.00
600.perlbench_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,15.395400,0.00
602.gcc_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,75.167200,0.00
605.mcf_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.333800,0.00
619.lbm_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.100300,0.00
620.omnetpp_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,17.414700,0.00
623.xalancbmk_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,44.083500,0.00
625.x264_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.007000,4.682300,0.15
631.deepsjeng_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.851200,0.00
638.imagick_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.007200,15.636000,0.05
641.leela_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,1.330800,0.00
644.nab_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,1.532900,0.00
657.xz_s,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,1.926300,0.00
996.specrand_fs,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.026700,0.00
997.specrand_fr,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.026600,0.00
998.specrand_is,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.025000,0.00
999.specrand_ir,nuno-arm64,NewGVN-opt-s1-p0-pbqp,pbqp,0.000000,0.016500,0.00
500.perlbench_r,nuno-arm64,NoGVN-fast,fast,0.000000,13.436000,0.00
502.gcc_r,nuno-arm64,NoGVN-fast,fast,0.000000,65.293600,0.00
505.mcf_r,nuno-arm64,NoGVN-fast,fast,0.000000,0.255600,0.00
508.namd_r,nuno-arm64,NoGVN-fast,fast,0.000000,4.395600,0.00
510.parest_r,nuno-arm64,NoGVN-fast,fast,0.000000,95.744600,0.00
511.povray_r,nuno-arm64,NoGVN-fast,fast,0.000000,7.588600,0.00
519.lbm_r,nuno-arm64,NoGVN-fast,fast,0.000000,0.075200,0.00
520.omnetpp_r,nuno-arm64,NoGVN-fast,fast,0.000000,16.079100,0.00
523.xalancbmk_r,nuno-arm64,NoGVN-fast,fast,0.000000,42.895300,0.00
525.x264_r,nuno-arm64,NoGVN-fast,fast,0.000000,3.871100,0.00
526.blender_r,nuno-arm64,NoGVN-fast,fast,0.000000,92.477600,0.00
531.deepsjeng_r,nuno-arm64,NoGVN-fast,fast,0.000000,0.700900,0.00
538.imagick_r,nuno-arm64,NoGVN-fast,fast,0.000000,12.070800,0.00
541.leela_r,nuno-arm64,NoGVN-fast,fast,0.000000,1.682100,0.00
544.nab_r,nuno-arm64,NoGVN-fast,fast,0.000000,1.216200,0.00
557.xz_r,nuno-arm64,NoGVN-fast,fast,0.000000,1.663100,0.00
600.perlbench_s,nuno-arm64,NoGVN-fast,fast,0.000000,13.562400,0.00
602.gcc_s,nuno-arm64,NoGVN-fast,fast,0.000000,64.793500,0.00
605.mcf_s,nuno-arm64,NoGVN-fast,fast,0.000000,0.294500,0.00
619.lbm_s,nuno-arm64,NoGVN-fast,fast,0.000000,0.075100,0.00
620.omnetpp_s,nuno-arm64,NoGVN-fast,fast,0.000000,15.546700,0.00
623.xalancbmk_s,nuno-arm64,NoGVN-fast,fast,0.000000,41.303900,0.00
625.x264_s,nuno-arm64,NoGVN-fast,fast,0.000000,3.687300,0.00
631.deepsjeng_s,nuno-arm64,NoGVN-fast,fast,0.000000,0.654000,0.00
638.imagick_s,nuno-arm64,NoGVN-fast,fast,0.000000,12.016200,0.00
641.leela_s,nuno-arm64,NoGVN-fast,fast,0.000000,1.745800,0.00
644.nab_s,nuno-arm64,NoGVN-fast,fast,0.000000,1.321700,0.00
657.xz_s,nuno-arm64,NoGVN-fast,fast,0.000000,1.538500,0.00
996.specrand_fs,nuno-arm64,NoGVN-fast,fast,0.000000,0.023600,0.00
997.specrand_fr,nuno-arm64,NoGVN-fast,fast,0.000000,0.023900,0.00
998.specrand_is,nuno-arm64,NoGVN-fast,fast,0.000000,0.023900,0.00
999.specrand_ir,nuno-arm64,NoGVN-fast,fast,0.000000,0.031200,0.00
500.perlbench_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,15.113400,0.00
502.gcc_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,66.817600,0.00
505.mcf_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.355000,0.00
508.namd_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,6.069500,0.00
510.parest_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,99.173100,0.00
511.povray_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,7.814500,0.00
519.lbm_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.075400,0.00
520.omnetpp_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,16.211900,0.00
523.xalancbmk_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,40.465900,0.00
525.x264_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,3.921100,0.00
526.blender_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,92.738200,0.00
531.deepsjeng_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.747300,0.00
538.imagick_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,13.291300,0.00
541.leela_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,1.441900,0.00
544.nab_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,1.430000,0.00
557.xz_r,nuno-arm64,NoGVN-greedy,greedy,0.000000,1.738900,0.00
600.perlbench_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,15.008900,0.00
602.gcc_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,65.892800,0.00
605.mcf_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.368000,0.00
619.lbm_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.078200,0.00
620.omnetpp_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,15.259000,0.00
623.xalancbmk_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,40.110000,0.00
625.x264_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,3.946200,0.00
631.deepsjeng_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.663600,0.00
638.imagick_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,13.031100,0.00
641.leela_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,1.940700,0.00
644.nab_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,1.395200,0.00
657.xz_s,nuno-arm64,NoGVN-greedy,greedy,0.000000,1.715600,0.00
996.specrand_fs,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.030900,0.00
997.specrand_fr,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.023800,0.00
998.specrand_is,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.023000,0.00
999.specrand_ir,nuno-arm64,NoGVN-greedy,greedy,0.000000,0.023700,0.00
500.perlbench_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,15.400100,0.00
502.gcc_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,73.007300,0.00
505.mcf_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,0.281500,0.00
508.namd_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,6.172500,0.00
510.parest_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,107.030700,0.00
511.povray_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,8.242800,0.00
519.lbm_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,0.099900,0.00
520.omnetpp_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,17.283600,0.00
523.xalancbmk_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,46.300800,0.00
525.x264_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,4.698900,0.00
526.blender_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,102.303200,0.00
531.deepsjeng_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,0.737500,0.00
538.imagick_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,15.440500,0.00
541.leela_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,1.891100,0.00
544.nab_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,1.300400,0.00
557.xz_r,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,1.883000,0.00
600.perlbench_s,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,15.133600,0.00
602.gcc_s,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,74.229500,0.00
605.mcf_s,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,0.368600,0.00
619.lbm_s,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,0.099500,0.00
620.omnetpp_s,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,18.694700,0.00
623.xalancbmk_s,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,46.039100,0.00
625.x264_s,nuno-arm64,NoGVN-pbqp,pbqp,0.000000,4.707000,0.00
